id,left,top,right,bottom,row_index,col_index
3142,204689.761599999997998,551863.541699999943376,205189.761599999997998,551363.541699999943376,30,51
3143,204689.761599999997998,551363.541699999943376,205189.761599999997998,550863.541699999943376,31,51
3140,204689.761599999997998,552863.541699999943376,205189.761599999997998,552363.541699999943376,28,51
3141,204689.761599999997998,552363.541699999943376,205189.761599999997998,551863.541699999943376,29,51
3138,204689.761599999997998,553863.541699999943376,205189.761599999997998,553363.541699999943376,26,51
3139,204689.761599999997998,553363.541699999943376,205189.761599999997998,552863.541699999943376,27,51
3136,204689.761599999997998,554863.541699999943376,205189.761599999997998,554363.541699999943376,24,51
3137,204689.761599999997998,554363.541699999943376,205189.761599999997998,553863.541699999943376,25,51
3262,205689.761599999997998,552863.541699999943376,206189.761599999997998,552363.541699999943376,28,53
3263,205689.761599999997998,552363.541699999943376,206189.761599999997998,551863.541699999943376,29,53
3260,205689.761599999997998,553863.541699999943376,206189.761599999997998,553363.541699999943376,26,53
3261,205689.761599999997998,553363.541699999943376,206189.761599999997998,552863.541699999943376,27,53
3258,205689.761599999997998,554863.541699999943376,206189.761599999997998,554363.541699999943376,24,53
3259,205689.761599999997998,554363.541699999943376,206189.761599999997998,553863.541699999943376,25,53
3256,205689.761599999997998,555863.541699999943376,206189.761599999997998,555363.541699999943376,22,53
3257,205689.761599999997998,555363.541699999943376,206189.761599999997998,554863.541699999943376,23,53
3254,205689.761599999997998,556863.541699999943376,206189.761599999997998,556363.541699999943376,20,53
3255,205689.761599999997998,556363.541699999943376,206189.761599999997998,555863.541699999943376,21,53
3252,205689.761599999997998,557863.541699999943376,206189.761599999997998,557363.541699999943376,18,53
3253,205689.761599999997998,557363.541699999943376,206189.761599999997998,556863.541699999943376,19,53
3250,205689.761599999997998,558863.541699999943376,206189.761599999997998,558363.541699999943376,16,53
3251,205689.761599999997998,558363.541699999943376,206189.761599999997998,557863.541699999943376,17,53
3248,205689.761599999997998,559863.541699999943376,206189.761599999997998,559363.541699999943376,14,53
3249,205689.761599999997998,559363.541699999943376,206189.761599999997998,558863.541699999943376,15,53
3246,205689.761599999997998,560863.541699999943376,206189.761599999997998,560363.541699999943376,12,53
3247,205689.761599999997998,560363.541699999943376,206189.761599999997998,559863.541699999943376,13,53
3244,205689.761599999997998,561863.541699999943376,206189.761599999997998,561363.541699999943376,10,53
3245,205689.761599999997998,561363.541699999943376,206189.761599999997998,560863.541699999943376,11,53
3242,205689.761599999997998,562863.541699999943376,206189.761599999997998,562363.541699999943376,8,53
3243,205689.761599999997998,562363.541699999943376,206189.761599999997998,561863.541699999943376,9,53
3240,205689.761599999997998,563863.541699999943376,206189.761599999997998,563363.541699999943376,6,53
3241,205689.761599999997998,563363.541699999943376,206189.761599999997998,562863.541699999943376,7,53
3238,205689.761599999997998,564863.541699999943376,206189.761599999997998,564363.541699999943376,4,53
3239,205689.761599999997998,564363.541699999943376,206189.761599999997998,563863.541699999943376,5,53
3236,205689.761599999997998,565863.541699999943376,206189.761599999997998,565363.541699999943376,2,53
3237,205689.761599999997998,565363.541699999943376,206189.761599999997998,564863.541699999943376,3,53
3235,205689.761599999997998,566363.541699999943376,206189.761599999997998,565863.541699999943376,1,53
3232,205189.761599999997998,537363.541699999943376,205689.761599999997998,536863.541699999943376,59,52
3233,205189.761599999997998,536863.541699999943376,205689.761599999997998,536363.541699999943376,60,52
3230,205189.761599999997998,538363.541699999943376,205689.761599999997998,537863.541699999943376,57,52
3231,205189.761599999997998,537863.541699999943376,205689.761599999997998,537363.541699999943376,58,52
3228,205189.761599999997998,539363.541699999943376,205689.761599999997998,538863.541699999943376,55,52
3229,205189.761599999997998,538863.541699999943376,205689.761599999997998,538363.541699999943376,56,52
3226,205189.761599999997998,540363.541699999943376,205689.761599999997998,539863.541699999943376,53,52
3227,205189.761599999997998,539863.541699999943376,205689.761599999997998,539363.541699999943376,54,52
3224,205189.761599999997998,541363.541699999943376,205689.761599999997998,540863.541699999943376,51,52
3225,205189.761599999997998,540863.541699999943376,205689.761599999997998,540363.541699999943376,52,52
3222,205189.761599999997998,542363.541699999943376,205689.761599999997998,541863.541699999943376,49,52
3223,205189.761599999997998,541863.541699999943376,205689.761599999997998,541363.541699999943376,50,52
3220,205189.761599999997998,543363.541699999943376,205689.761599999997998,542863.541699999943376,47,52
3221,205189.761599999997998,542863.541699999943376,205689.761599999997998,542363.541699999943376,48,52
3218,205189.761599999997998,544363.541699999943376,205689.761599999997998,543863.541699999943376,45,52
3219,205189.761599999997998,543863.541699999943376,205689.761599999997998,543363.541699999943376,46,52
3216,205189.761599999997998,545363.541699999943376,205689.761599999997998,544863.541699999943376,43,52
3217,205189.761599999997998,544863.541699999943376,205689.761599999997998,544363.541699999943376,44,52
3214,205189.761599999997998,546363.541699999943376,205689.761599999997998,545863.541699999943376,41,52
3215,205189.761599999997998,545863.541699999943376,205689.761599999997998,545363.541699999943376,42,52
3212,205189.761599999997998,547363.541699999943376,205689.761599999997998,546863.541699999943376,39,52
3213,205189.761599999997998,546863.541699999943376,205689.761599999997998,546363.541699999943376,40,52
3210,205189.761599999997998,548363.541699999943376,205689.761599999997998,547863.541699999943376,37,52
3211,205189.761599999997998,547863.541699999943376,205689.761599999997998,547363.541699999943376,38,52
3208,205189.761599999997998,549363.541699999943376,205689.761599999997998,548863.541699999943376,35,52
3209,205189.761599999997998,548863.541699999943376,205689.761599999997998,548363.541699999943376,36,52
3206,205189.761599999997998,550363.541699999943376,205689.761599999997998,549863.541699999943376,33,52
3207,205189.761599999997998,549863.541699999943376,205689.761599999997998,549363.541699999943376,34,52
3204,205189.761599999997998,551363.541699999943376,205689.761599999997998,550863.541699999943376,31,52
3205,205189.761599999997998,550863.541699999943376,205689.761599999997998,550363.541699999943376,32,52
3202,205189.761599999997998,552363.541699999943376,205689.761599999997998,551863.541699999943376,29,52
