fid,BASE_DATE,ADM_CD,SIGNGU_CD,SIGNGU_NM,NUMPOINTS
289,20230701,11010710,11140,중구,0
290,20230701,11010710,11230,동대문구,0
291,20230701,11010710,11290,성북구,0
292,20230701,11010720,11110,종로구,0
293,20230701,11010720,11410,서대문구,0
294,20230701,11010730,11110,종로구,0
295,20230701,11010730,11290,성북구,0
296,20230701,11020520,11110,종로구,0
297,20230701,11020520,11140,중구,0
298,20230701,11020520,11410,서대문구,0
299,20230701,11020540,11140,중구,0
300,20230701,11020540,11170,용산구,0
301,20230701,11020550,11110,종로구,0
302,20230701,11020550,11140,중구,0
303,20230701,11020570,11140,중구,0
304,20230701,11020570,11170,용산구,0
305,20230701,11020650,11140,중구,0
306,20230701,11020650,11200,성동구,0
307,20230701,11030690,11170,용산구,0
308,20230701,11030690,11650,서초구,0
309,20230701,11030700,11170,용산구,0
310,20230701,11030700,11650,서초구,0
311,20230701,11030710,11140,중구,0
312,20230701,11030710,11170,용산구,0
313,20230701,11030710,11440,마포구,0
314,20230701,11030720,11170,용산구,0
315,20230701,11030730,11170,용산구,0
316,20230701,11020670,11110,종로구,0
317,20230701,11020670,11140,중구,0
318,20230701,11020670,11200,성동구,0
319,20230701,11020690,11110,종로구,0
320,20230701,11020690,11140,중구,0
321,20230701,11020700,11140,중구,0
322,20230701,11020700,11170,용산구,0
323,20230701,11020710,11140,중구,0
324,20230701,11020710,11170,용산구,0
325,20230701,11020710,11200,성동구,0
326,20230701,11150640,11470,양천구,0
327,20230701,11020720,11140,중구,0
328,20230701,11020720,11200,성동구,0
329,20230701,11150720,11470,양천구,0
330,20230701,11150720,11500,강서구,0
331,20230701,11020730,11140,중구,0
332,20230701,11020730,11200,성동구,0
333,20230701,11030630,11170,용산구,0
334,20230701,11030630,11590,동작구,0
335,20230701,11030630,11650,서초구,0
336,20230701,11030640,11170,용산구,0
337,20230701,11030640,11560,영등포구,0
338,20230701,11030640,11590,동작구,0
339,20230701,11030660,11140,중구,0
340,20230701,11030660,11170,용산구,0
341,20230701,11040560,11200,성동구,0
342,20230701,11040570,11200,성동구,0
343,20230701,11040580,11200,성동구,0
344,20230701,11040660,11200,성동구,0
345,20230701,11040680,11200,성동구,0
346,20230701,11040680,11215,광진구,0
347,20230701,11040710,11140,중구,0
348,20230701,11040710,11200,성동구,0
349,20230701,11040710,11230,동대문구,0
350,20230701,11140740,11380,은평구,0
351,20230701,11140740,11410,서대문구,0
352,20230701,11140740,11440,마포구,0
353,20230701,11140740,11500,강서구,0
354,20230701,11140740,11560,영등포구,0
355,20230701,11140770,11140,중구,0
356,20230701,11140770,11170,용산구,0
357,20230701,11140770,11410,서대문구,0
358,20230701,11140770,11440,마포구,0
359,20230701,11180520,11530,구로구,0
360,20230701,11180520,11545,금천구,0
361,20230701,11180520,11620,관악구,0
362,20230701,31180600,11740,강동구,0
363,20230701,31180611,11740,강동구,0
364,20230701,31180620,11740,강동구,0
365,20230701,31180630,11740,강동구,0
366,20230701,31180650,11710,송파구,0
367,20230701,31180660,11710,송파구,0
368,20230701,31180660,11740,강동구,0
369,20230701,31180670,11710,송파구,0
370,20230701,11040720,11140,중구,0
371,20230701,11040720,11200,성동구,0
372,20230701,11050530,11200,성동구,0
373,20230701,11050530,11215,광진구,0
374,20230701,11050540,11200,성동구,0
375,20230701,11050540,11215,광진구,0
376,20230701,11160520,11470,양천구,0
377,20230701,11160520,11500,강서구,0
378,20230701,11050550,11200,성동구,0
379,20230701,11050550,11215,광진구,0
380,20230701,11050550,11230,동대문구,0
381,20230701,11110730,11350,노원구,0
382,20230701,11050560,11215,광진구,0
383,20230701,11110610,11350,노원구,0
384,20230701,11050570,11215,광진구,0
385,20230701,11050570,11230,동대문구,0
386,20230701,11050570,11260,중랑구,0
387,20230701,11050580,11215,광진구,1
388,20230701,11050580,11260,중랑구,0
389,20230701,11050590,11215,광진구,0
390,20230701,11050600,11215,광진구,0
391,20230701,11050620,11215,광진구,0
392,20230701,11050620,11710,송파구,0
393,20230701,11240710,11680,강남구,0
394,20230701,11240710,11710,송파구,0
395,20230701,11050630,11215,광진구,0
396,20230701,11050630,11710,송파구,0
397,20230701,11050630,11740,강동구,0
398,20230701,11050640,11215,광진구,0
399,20230701,11050650,11215,광진구,0
400,20230701,11050650,11710,송파구,0
401,20230701,11240750,11710,송파구,0
402,20230701,11050670,11200,성동구,0
403,20230701,11050670,11215,광진구,1
404,20230701,11050670,11680,강남구,0
405,20230701,11240770,11710,송파구,1
406,20230701,11060710,11230,동대문구,0
407,20230701,11060710,11290,성북구,0
408,20230701,11060730,11230,동대문구,0
409,20230701,11060730,11260,중랑구,0
410,20230701,11060800,11230,동대문구,0
411,20230701,11060800,11290,성북구,0
412,20230701,11060810,11110,종로구,0
413,20230701,11060810,11140,중구,0
414,20230701,11060810,11200,성동구,0
415,20230701,11060810,11230,동대문구,1
416,20230701,11060810,11290,성북구,0
417,20230701,11060820,11230,동대문구,1
418,20230701,11060820,11290,성북구,0
419,20230701,11060830,11230,동대문구,0
420,20230701,11060840,11230,동대문구,0
421,20230701,11060860,11200,성동구,0
422,20230701,11060860,11230,동대문구,0
423,20230701,11240780,11680,강남구,0
424,20230701,11240780,11710,송파구,0
425,20230701,11060870,11200,성동구,0
426,20230701,11060870,11215,광진구,0
427,20230701,11060870,11230,동대문구,2
428,20230701,11060870,11260,중랑구,0
429,20230701,11060880,11230,동대문구,1
430,20230701,11060880,11260,중랑구,0
431,20230701,11070520,11230,동대문구,0
432,20230701,11070520,11260,중랑구,1
433,20230701,11070540,11215,광진구,0
434,20230701,11070540,11230,동대문구,0
435,20230701,11070540,11260,중랑구,1
436,20230701,11240790,11680,강남구,0
437,20230701,11240790,11710,송파구,3
438,20230701,11070550,11230,동대문구,0
439,20230701,11070550,11260,중랑구,0
440,20230701,11070570,11215,광진구,0
441,20230701,11070570,11260,중랑구,0
442,20230701,11070600,11230,동대문구,0
443,20230701,11070600,11260,중랑구,0
444,20230701,11070620,11230,동대문구,0
445,20230701,11070620,11260,중랑구,1
446,20230701,11070640,11260,중랑구,0
447,20230701,11070640,11350,노원구,0
448,20230701,11070650,11230,동대문구,0
449,20230701,11070650,11260,중랑구,0
450,20230701,11070650,11290,성북구,0
451,20230701,11070650,11350,노원구,0
452,20230701,11110560,11260,중랑구,0
453,20230701,11110560,11350,노원구,0
454,20230701,11070680,11260,중랑구,0
455,20230701,11070700,11260,중랑구,0
456,20230701,11070710,11260,중랑구,0
457,20230701,11070720,11260,중랑구,2
458,20230701,11070730,11260,중랑구,0
459,20230701,11080580,11290,성북구,0
460,20230701,11080590,11290,성북구,0
461,20230701,11080600,11230,동대문구,0
462,20230701,11080600,11290,성북구,0
463,20230701,11080610,11110,종로구,0
464,20230701,11080610,11230,동대문구,0
465,20230701,11080610,11290,성북구,0
466,20230701,11080680,11290,성북구,0
467,20230701,11080680,11305,강북구,0
468,20230701,11110790,11260,중랑구,0
469,20230701,11110790,11350,노원구,0
470,20230701,11080710,11290,성북구,0
471,20230701,11080710,11305,강북구,0
472,20230701,11080760,11290,성북구,0
473,20230701,11080760,11305,강북구,0
474,20230701,11080770,11290,성북구,0
475,20230701,11120520,11110,종로구,0
476,20230701,11120520,11380,은평구,0
477,20230701,11120520,11410,서대문구,0
